combo,groups,M74,M77,M79,M80,M81,M82,M85,M87
445,ABCDFHKL,C,D,H,K,B,A,F,L
446,ABCDFHJL,D,F,C,H,B,A,J,L
447,ABCDFHJK,C,F,H,K,B,A,J,D
448,ABCDFHIL,C,D,H,I,B,A,F,L
449,ABCDFHIK,C,D,H,K,B,A,F,I
450,ABCDFHIJ,C,F,H,I,B,A,J,D
451,ABCDFGKL,D,F,C,K,B,A,G,L
452,ABCDFGJL,D,F,C,J,B,A,G,L
453,ABCDFGJK,D,F,C,K,B,A,G,J
454,ABCDFGIL,D,F,C,I,B,A,G,L
455,ABCDFGIK,D,F,C,K,B,A,G,I
456,ABCDFGIJ,D,F,C,J,B,A,G,I
457,ABCDFGHL,D,F,C,H,B,A,G,L
458,ABCDFGHK,C,F,H,K,B,A,G,D
459,ABCDFGHJ,C,F,H,J,B,A,G,D
460,ABCDFGHI,C,F,H,I,B,A,G,D
461,ABCDEJKL,C,D,E,K,B,A,J,L
462,ABCDEIKL,C,D,E,K,B,A,I,L
463,ABCDEIJL,C,D,E,I,B,A,J,L
464,ABCDEIJK,C,D,E,K,B,A,J,I
465,ABCDEHKL,C,D,H,K,B,A,E,L
466,ABCDEHJL,C,D,H,E,B,A,J,L
467,ABCDEHJK,C,D,H,K,B,A,J,E
468,ABCDEHIL,C,D,H,I,B,A,E,L
469,ABCDEHIK,C,D,H,K,B,A,E,I
470,ABCDEHIJ,C,D,H,I,B,A,J,E
471,ABCDEGKL,C,D,E,K,B,A,G,L
472,ABCDEGJL,C,D,E,J,B,A,G,L
473,ABCDEGJK,C,D,E,K,B,A,G,J
474,ABCDEGIL,C,D,E,I,B,A,G,L
475,ABCDEGIK,C,D,E,K,B,A,G,I
476,ABCDEGIJ,C,D,E,J,B,A,G,I
477,ABCDEGHL,C,D,H,E,B,A,G,L
478,ABCDEGHK,C,D,H,K,B,A,G,E
479,ABCDEGHJ,C,D,H,J,B,A,G,E
480,ABCDEGHI,C,D,H,I,B,A,G,E
481,ABCDEFKL,D,F,C,K,B,A,E,L
482,ABCDEFJL,D,F,C,E,B,A,J,L
483,ABCDEFJK,D,F,C,K,B,A,J,E
484,ABCDEFIL,D,F,C,I,B,A,E,L
485,ABCDEFIK,D,F,C,K,B,A,E,I
486,ABCDEFIJ,D,F,C,I,B,A,J,E
487,ABCDEFHL,C,D,H,E,B,A,F,L
488,ABCDEFHK,C,F,H,K,B,A,E,D
489,ABCDEFHJ,C,F,H,E,B,A,J,D
490,ABCDEFHI,C,F,H,I,B,A,E,D
491,ABCDEFGL,D,F,C,E,B,A,G,L
492,ABCDEFGK,D,F,C,K,B,A,G,E
493,ABCDEFGJ,D,F,C,J,B,A,G,E
494,ABCDEFGI,D,F,C,I,B,A,G,E
495,ABCDEFGH,C,F,H,E,B,A,G,D
